Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Johnathan Abram,S,https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,5-11,205,4.45,,,116,,,Oakland Raiders / 1st / 27th pick / 2019,2019
Paul Adams,OT,https://www.sports-reference.com/cfb/players/paul-adams-3.html,6-6,317,5.18,27.0,16,103,7.68,4.74,,2019
Nasir Adderley,S, ,6-0,206,,,,,,,Los Angeles Chargers / 2nd / 60th pick / 2019,2019
Azeez Al-Shaair,LB,https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,6-1,234,,,16,,,,,2019
Otaro Alaka,LB,https://www.sports-reference.com/cfb/players/otaro-alaka-1.html,6-3,239,4.82,36.0,20,131,,,,2019
Dakota Allen,LB,https://www.sports-reference.com/cfb/players/dakota-allen-1.html,6-1,232,4.77,31.5,23,116,6.88,4.04,Los Angeles Rams / 7th / 251st pick / 2019,2019
Josh Allen,EDGE,https://www.sports-reference.com/cfb/players/josh-allen-6.html,6-5,262,4.63,,28,118,7.15,4.23,Jacksonville Jaguars / 1st / 7th pick / 2019,2019
Zach Allen,DL,https://www.sports-reference.com/cfb/players/zach-allen-5.html,6-4,281,5.00,32.0,24,112,7.34,4.36,Arizona Cardinals / 3rd / 65th pick / 2019,2019
Bryson Allen-Williams,LB,https://www.sports-reference.com/cfb/players/bryson-allen-williams-1.html,6-1,236,4.88,,14,,7.40,,,2019
Jeff Allison,LB,https://www.sports-reference.com/cfb/players/jeffrey-allison-1.html,5-11,228,4.82,31.0,12,115,7.20,4.45,,2019
Ugo Amadi,S,https://www.sports-reference.com/cfb/players/ugo-amadi-1.html,5-9,199,4.51,32.5,18,115,7.21,4.19,Seattle Seahawks / 4th / 132nd pick / 2019,2019
Rodney Anderson,RB,https://www.sports-reference.com/cfb/players/rodney-anderson-1.html,6-0,224,,,25,,,,Cincinnati Bengals / 6th / 211th pick / 2019,2019
J.J. Arcega-Whiteside,WR,https://www.sports-reference.com/cfb/players/jj-arcega-whiteside-1.html,6-2,225,,,,,,,Philadelphia Eagles / 2nd / 57th pick / 2019,2019
