Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Sam Acho,OLB,https://www.sports-reference.com/cfb/players/sam-acho-1.html,6-2,262,4.67,33.5,23,112,6.69,4.32,Arizona Cardinals / 4th / 103rd pick / 2011
Darvin Adams,WR,https://www.sports-reference.com/cfb/players/darvin-adams-1.html,6-2,190,4.56,,,,,,
Danny Aiken,LS,https://www.sports-reference.com/cfb/players/danny-aiken-1.html,6-4,244,5.00,,11,,,,
Danny Aiken,DT,https://www.sports-reference.com/cfb/players/ladi-ajiboye-1.html,6-1,297,5.30,24.0,23,91,7.72,4.71,
Anthony Allen,RB,https://www.sports-reference.com/cfb/players/anthony-allen-1.html,6-1,228,4.56,41.5,24,120,6.79,4.06,Baltimore Ravens / 7th / 225th pick / 2011
Armando Allen,RB,https://www.sports-reference.com/cfb/players/armando-allen-1.html,5-8,199,4.59,,23,,,,
Cortez Allen,CB,https://www.sports-reference.com/cfb/players/armando-allen-1.html,6-1,197,4.50,35.5,18,129,6.76,4.01,Pittsburgh Steelers / 4th / 128th pick / 2011
Pierre Allen,DE,https://www.sports-reference.com/cfb/players/pierre-allen-1.html,6-3,273,4.78,,,,,,
Prince Amukamara,CB,https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,6-0,206,4.38,38.0,15,128,6.97,4.08,New York Giants / 1st / 19th pick / 2011
David Arkin,OG,https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,6-5,300,5.31,29.0,25,103,7.60,4.63,Dallas Cowboys / 4th / 110th pick / 2011
Matt Asiata,RB,https://www.sports-reference.com/cfb/players/matt-asiata-1.html,5-11,229,4.77,30.0,22,104,7.09,4.37,
Marvin Austin,DT,https://www.sports-reference.com/cfb/players/marvin-austin-1.html,6-2,309,4.84,30.5,38,112,7.33,4.40,New York Giants / 2nd / 52nd pick / 2011
Akeem Ayers,OLB,https://www.sports-reference.com/cfb/players/akeem-ayers-1.html,6-2,254,4.81,31.0,18,116,7.49,4.28,Tennessee Titans / 2nd / 39th pick / 2011
Allen Bailey,DE,https://www.sports-reference.com/cfb/players/allen-bailey-1.html,6-3,285,4.71,36.5,27,117,7.43,4.56,Kansas City Chiefs / 3rd / 86th pick / 2011
Dan Bailey,K,https://www.sports-reference.com/cfb/players/dan-bailey-1.html,6-0,193,4.92,,,,,,
Brandon Bair,DE,https://www.sports-reference.com/cfb/players/brandon-bair-1.html,6-6,276,4.92,28.0,26,114,7.07,4.37,
Jon Baldwin,WR,https://www.sports-reference.com/cfb/players/jon-baldwin-1.html,6-4,228,4.49,42.0,20,129,7.07,4.34,Kansas City Chiefs / 1st / 26th pick / 2011
Christian Ballard,DE,https://www.sports-reference.com/cfb/players/christian-ballard-1.html,6-4,283,4.75,31.5,,111,7.54,4.51,Minnesota Vikings / 4th / 106th pick / 2011
Joe Barksdale,OT,https://www.sports-reference.com/cfb/players/joseph-barksdale-1.html,6-5,325,5.31,29.0,29,103,8.27,4.75,Oakland Raiders / 3rd / 92nd pick / 2011
Ryan Bartholomew,C,https://www.sports-reference.com/cfb/players/ryan-bartholomew-1.html,6-1,302,4.93,26.5,34,92,7.62,4.62,
Jeremy Beal,DE,https://www.sports-reference.com/cfb/players/jeremy-beal-1.html,6-2,262,5.14,28.5,22,106,7.19,4.46,Denver Broncos / 7th / 247th pick / 2011
Nick Bellore,ILB,https://www.sports-reference.com/cfb/players/nick-bellore-1.html,6-1,245,4.84,32.5,23,109,6.98,4.00,
Damien Berry,RB,https://www.sports-reference.com/cfb/players/damien-berry-1.html,5-10,211,4.58,33.5,23,120,7.00,4.12,
Armon Binns,WR,https://www.sports-reference.com/cfb/players/armon-binns-1.html,6-3,209,4.50,31.5,13,118,6.86,4.31,
Ahmad Black,S,https://www.sports-reference.com/cfb/players/ahmad-black-1.html,5-9,184,4.70,35.5,18,119,6.85,4.20,Tampa Bay Buccaneers / 5th / 151st pick / 2011
