Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Paul Zukauskas,P,https://www.sports-reference.com/cfb/players/mike-abrams-1.html,6-4,227,,,,,,,,2002
Paul Zukauskas,RB,https://www.sports-reference.com/cfb/players/jonathan-adams-1.html,6-0,219,4.58,36.5,15,120,6.97,4.31,,2002
P.J. Alexander,OG, ,6-4,299,5.38,29.5,,102,7.90,4.73,,2002
P.J. Alexander,FB,https://www.sports-reference.com/cfb/players/jeremy-allen-1.html,6-0,241,4.59,38.0,17,126,7.06,4.49,,2002
Brian Allen,RB,https://www.sports-reference.com/cfb/players/brian-allen-2.html,5-9,209,4.46,33.0,19,112,6.90,4.08,Indianapolis Colts / 6th / 204th pick / 2002,2002
James Allen,OLB, ,6-3,240,4.62,38.0,24,126,7.59,4.21,New Orleans Saints / 3rd / 82nd pick / 2002,2002
James Allen,OT, ,6-6,327,5.50,29.0,26,104,7.99,4.80,San Diego Chargers / 6th / 178th pick / 2002,2002
Damien Anderson,RB,https://www.sports-reference.com/cfb/players/damien-anderson-1.html,5-10,211,4.56,33.5,27,112,6.93,4.02,,2002
Marques Anderson,S,https://www.sports-reference.com/cfb/players/marques-anderson-1.html,5-11,213,4.50,39.5,18,127,,,Green Bay Packers / 3rd / 92nd pick / 2002,2002
Mark Anelli,TE,https://www.sports-reference.com/cfb/players/mark-anelli-1.html,6-4,262,4.80,,18,,,,San Francisco 49ers / 6th / 201st pick / 2002,2002
Akin Ayodele,OLB,https://www.sports-reference.com/cfb/players/akin-ayodele-1.html,6-2,257,4.81,35.0,26,121,7.00,4.12,Jacksonville Jaguars / 3rd / 89th pick / 2002,2002
Chris Baker,TE,https://www.sports-reference.com/cfb/players/chris-baker-2.html,6-3,258,4.81,35.0,18,112,6.95,,New York Jets / 3rd / 88th pick / 2002,2002
Jason Ball,C,https://www.sports-reference.com/cfb/players/jason-ball-1.html,6-2,301,5.41,29.0,27,94,7.87,4.73,,2002
Jason Ball,DT, ,6-2,313,5.18,26.5,24,93,7.47,4.64,Jacksonville Jaguars / 6th / 180th pick / 2002,2002
Mike Banks,TE,https://www.sports-reference.com/cfb/players/mike-banks-1.html,6-4,260,4.84,31.5,,104,,,Arizona Cardinals / 7th / 223rd pick / 2002,2002
Justin Bannan,DT,https://www.sports-reference.com/cfb/players/justin-bannan-1.html,6-3,300,5.00,29.0,24,99,7.31,4.24,Buffalo Bills / 5th / 139th pick / 2002,2002
Kevin Barry,OG, ,6-4,325,5.34,28.5,24,108,8.34,4.73,,2002
Kevin Barry,FB,https://www.sports-reference.com/cfb/players/will-bartholomew-1.html,6-0,246,4.68,38.0,35,119,6.85,4.09,,2002
Rashad Bauman,CB,https://www.sports-reference.com/cfb/players/rashad-bauman-1.html,5-8,186,4.44,39.0,10,118,,,Washington Redskins / 3rd / 79th pick / 2002,2002
Jarrod Baxter,FB,https://www.sports-reference.com/cfb/players/jarrod-baxter-1.html,6-1,245,4.70,32.5,23,116,7.10,4.27,Houston Texans / 5th / 136th pick / 2002,2002
Chad Beasley,DT,https://www.sports-reference.com/cfb/players/chad-beasley-1.html,6-5,303,5.15,31.5,27,104,7.75,4.60,Minnesota Vikings / 7th / 218th pick / 2002,2002
Chad Beasley,WR,https://www.sports-reference.com/cfb/players/atrews-bell-1.html,5-11,218,4.52,,,,,,,2002
Kevin Bentley,OLB,https://www.sports-reference.com/cfb/players/kevin-bentley-1.html,6-0,243,4.68,39.0,23,120,6.71,3.83,Cleveland Browns / 4th / 101st pick / 2002,2002
LeCharles Bentley,C,https://www.sports-reference.com/cfb/players/lecharles-bentley-1.html,6-2,299,5.19,25.5,,103,7.85,4.54,New Orleans Saints / 2nd / 44th pick / 2002,2002
Rocky Bernard,DT, ,6-3,294,4.96,33.0,30,108,7.43,4.41,Seattle Seahawks / 5th / 146th pick / 2002,2002
Ladell Betts,RB,https://www.sports-reference.com/cfb/players/ladell-betts-1.html,5-10,220,4.62,38.0,23,116,7.06,4.06,Washington Redskins / 2nd / 56th pick / 2002,2002
Martin Bibla,OG, ,6-3,306,5.08,,35,,,,Atlanta Falcons / 4th / 116th pick / 2002,2002
Terreal Bierria,S,https://www.sports-reference.com/cfb/players/terreal-bierria-1.html,6-3,216,4.61,36.0,18,130,6.93,4.10,Seattle Seahawks / 4th / 120th pick / 2002,2002
