Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Selvin Young,DE,https://www.sports-reference.com/cfb/players/jared-zabransky-1.html,6-5,277,5.00,27.0,22,109,7.91,4.76,
Titus Adams,DT,https://www.sports-reference.com/cfb/players/titus-adams-1.html,6-3,306,5.07,30.5,15,103,7.49,4.54,New York Jets / 7th / 220th pick / 2006
Titus Adams,S,https://www.sports-reference.com/cfb/players/jahmile-addae-1.html,5-10,214,4.70,38.5,,122,,,
Joseph Addai,RB,https://www.sports-reference.com/cfb/players/joseph-addai-1.html,5-11,214,4.40,38.5,18,125,7.09,4.47,Indianapolis Colts / 1st / 30th pick / 2006
Victor Adeyanju,DE,https://www.sports-reference.com/cfb/players/victor-adeyanju-1.html,6-4,274,4.86,32.0,22,112,7.37,4.41,St. Louis Rams / 4th / 113th pick / 2006
Jason Allen,S,https://www.sports-reference.com/cfb/players/jason-allen-2.html,6-1,209,4.39,39.5,17,131,6.75,3.81,Miami Dolphins / 1st / 16th pick / 2006
Jon Alston,OLB,https://www.sports-reference.com/cfb/players/jon-alston-1.html,6-1,223,4.50,40.0,30,132,6.90,4.13,St. Louis Rams / 3rd / 77th pick / 2006
Jon Alston,DT,https://www.sports-reference.com/cfb/players/sir-henry-anderson-1.html,6-4,306,5.19,28.5,27,100,7.69,4.55,
David Anderson,WR,https://www.sports-reference.com/cfb/players/david-anderson-1.html,5-10,192,4.57,34.0,,116,6.88,4.20,Houston Texans / 7th / 251st pick / 2006
James Anderson,OLB,https://www.sports-reference.com/cfb/players/james-anderson-1.html,6-3,229,4.59,41.0,,121,6.67,4.07,Carolina Panthers / 3rd / 88th pick / 2006
Mark Anderson,DE,https://www.sports-reference.com/cfb/players/mark-anderson-1.html,6-4,254,4.62,42.0,20,127,6.95,4.22,Chicago Bears / 5th / 159th pick / 2006
Willie Andrews,S,https://www.sports-reference.com/cfb/players/willie-andrews-1.html,5-9,193,4.43,36.5,7,124,6.99,4.27,New England Patriots / 7th / 229th pick / 2006
Devin Aromashodu,WR,https://www.sports-reference.com/cfb/players/devin-aromashodu-1.html,6-2,201,4.35,39.0,,120,7.04,4.16,Miami Dolphins / 7th / 233rd pick / 2006
Miles Austin,WR,https://www.sports-reference.com/cfb/players/devin-aromashodu-1.html,6-2,215,4.47,40.5,21,123,7.09,4.14,
Jason Avant,WR,https://www.sports-reference.com/cfb/players/jason-avant-1.html,6-0,212,4.62,37.0,20,118,,,Philadelphia Eagles / 4th / 109th pick / 2006
Brett Basanez,QB,https://www.sports-reference.com/cfb/players/brett-basanez-1.html,6-1,220,4.76,34.0,,114,6.75,4.22,
Hank Baskett,WR,https://www.sports-reference.com/cfb/players/hank-baskett-1.html,6-3,224,4.50,35.0,,119,6.79,4.17,
Hank Baskett,P,https://www.sports-reference.com/cfb/players/danny-baugher-1.html,5-10,194,,,,,,,
Mike Bell,RB,https://www.sports-reference.com/cfb/players/mike-bell-1.html,6-0,221,4.60,31.5,19,112,7.16,4.21,
Charles Bennett,DE,https://www.sports-reference.com/cfb/players/charles-bennett-1.html,6-4,258,4.70,33.5,19,115,7.48,4.52,Tampa Bay Buccaneers / 7th / 241st pick / 2006
Charles Bennett,FB,https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,6-0,260,4.91,29.5,22,110,7.46,4.50,
Antoine Bethea,S,https://www.sports-reference.com/cfb/players/matt-bernstein-1.html,5-11,203,4.39,36.5,19,127,6.99,4.11,Indianapolis Colts / 6th / 207th pick / 2006
Troy Bienemann,TE,https://www.sports-reference.com/cfb/players/troy-bienemann-1.html,6-5,256,4.80,,,,,,
Troy Bienemann,WR,https://www.sports-reference.com/cfb/players/damarius-bilbo-1.html,6-2,214,4.70,36.5,19,115,6.90,4.18,
Darnell Bing,S,https://www.sports-reference.com/cfb/players/darnell-bing-1.html,6-2,227,4.53,34.0,17,120,7.25,4.07,Oakland Raiders / 4th / 101st pick / 2006
Will Blackmon,CB,https://www.sports-reference.com/cfb/players/will-blackmon-1.html,6-0,198,4.47,41.0,,133,6.67,4.23,Green Bay Packers / 4th / 115th pick / 2006
Will Blackmon,WR,https://www.sports-reference.com/cfb/players/will-blackmon-1.html,5-9,173,4.49,,,,,,Philadelphia Eagles / 5th / 147th pick / 2006
Greg Blue,S,https://www.sports-reference.com/cfb/players/greg-blue-1.html,6-2,216,4.57,37.5,16,120,,,Minnesota Vikings / 5th / 149th pick / 2006
Kevin Boothe,OT,https://www.sports-reference.com/cfb/players/greg-blue-1.html,6-5,316,5.41,31.5,23,98,8.36,5.07,Oakland Raiders / 6th / 176th pick / 2006
Kevin Boothe,WR,https://www.sports-reference.com/cfb/players/jovon-bouknight-1.html,6-1,195,4.71,34.0,,120,6.93,4.03,
McKinley Boykin,DT,https://www.sports-reference.com/cfb/players/mckinley-boykin-1.html,6-1,289,5.01,30.5,30,109,,4.75,
McKinley Boykin,ILB,https://www.sports-reference.com/cfb/players/trent-bray-1.html,6-1,231,4.90,32.0,18,109,7.15,4.41,
McKinley Boykin,S,https://www.sports-reference.com/cfb/players/darrell-brooks-1.html,6-0,198,4.61,36.5,7,125,6.97,4.36,
McKinley Boykin,DT,https://www.sports-reference.com/cfb/players/manaia-brown-1.html,6-3,301,5.10,34.5,21,111,7.63,4.47,
Copeland Bryan,DE,https://www.sports-reference.com/cfb/players/copeland-bryan-1.html,6-4,253,4.90,33.0,16,117,7.11,4.30,
Daniel Bullocks,S,https://www.sports-reference.com/cfb/players/daniel-bullocks-1.html,6-0,212,4.38,38.0,18,124,6.91,4.16,Detroit Lions / 2nd / 40th pick / 2006
Brodrick Bunkley,DT,https://www.sports-reference.com/cfb/players/brodrick-bunkley-1.html,6-3,306,5.01,32.5,44,113,,,Philadelphia Eagles / 1st / 14th pick / 2006
Reggie Bush,RB,https://www.sports-reference.com/cfb/players/reggie-bush-1.html,5-11,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick / 2006
Brad Butler,OT,https://www.sports-reference.com/cfb/players/brad-butler-1.html,6-7,310,5.29,,,,,,Buffalo Bills / 5th / 143rd pick / 2006
Rashad Butler,OT,https://www.sports-reference.com/cfb/players/rashad-butler-1.html,6-5,293,5.30,28.0,16,106,7.90,4.55,Carolina Panthers / 3rd / 89th pick / 2006
Dominique Byrd,TE,https://www.sports-reference.com/cfb/players/dominique-byrd-1.html,6-3,255,4.79,,,,,,St. Louis Rams / 3rd / 93rd pick / 2006
Brian Calhoun,RB,https://www.sports-reference.com/cfb/players/brian-calhoun-2.html,5-9,201,4.57,31.5,18,124,7.05,4.20,Detroit Lions / 3rd / 74th pick / 2006
Bobby Carpenter,OLB,https://www.sports-reference.com/cfb/players/bobby-carpenter-1.html,6-2,256,4.65,,,,,,Dallas Cowboys / 1st / 18th pick / 2006
Jason Carter,WR,https://www.sports-reference.com/cfb/players/jason-carter-2.html,6-0,211,4.60,33.0,,116,6.89,4.21,
Chris Chester,C,https://www.sports-reference.com/cfb/players/chris-chester-1.html,6-3,303,4.83,31.5,27,106,7.31,4.50,Baltimore Ravens / 2nd / 56th pick / 2006
