Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Jared Abbrederis,WR,https://www.sports-reference.com/cfb/players/jared-abbrederis-1.html,6-1,195,4.50,30.5,4,117,6.80,4.08,Green Bay Packers / 5th / 176th pick / 2014,2014
Davante Adams,WR,https://www.sports-reference.com/cfb/players/davante-adams-1.html,6-1,212,4.56,39.5,14,123,6.82,4.30,Green Bay Packers / 2nd / 53rd pick / 2014,2014
Mo Alexander,S,https://www.sports-reference.com/cfb/players/maurice-alexander-1.html,6-1,220,4.50,38.0,,123,7.05,4.51,St. Louis Rams / 4th / 110th pick / 2014,2014
Ricardo Allen,CB,https://www.sports-reference.com/cfb/players/ricardo-allen-1.html,5-9,187,4.61,35.5,13,117,,4.15,Atlanta Falcons / 5th / 147th pick / 2014,2014
Jace Amaro,TE,https://www.sports-reference.com/cfb/players/jace-amaro-1.html,6-5,265,4.74,33.0,28,118,7.42,4.30,New York Jets / 2nd / 49th pick / 2014,2014
Antonio Andrews,RB,https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,5-10,225,4.82,29.5,20,106,7.24,4.49,,2014
Dri Archer,WR,https://www.sports-reference.com/cfb/players/dri-archer-1.html,5-8,173,4.26,38.0,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014,2014
Dri Archer,C, ,6-2,302,5.18,,,,,,,2014
George Atkinson,RB, ,6-1,218,4.48,38.0,19,121,7.07,4.46,,2014
Jeremiah Attaochu,OLB,https://www.sports-reference.com/cfb/players/jeremiah-attaochu-1.html,6-3,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014,2014
Dion Bailey,S,https://www.sports-reference.com/cfb/players/dion-bailey-1.html,6-0,201,4.66,34.0,,113,6.97,4.15,,2014
Anthony Barr,OLB,https://www.sports-reference.com/cfb/players/anthony-barr-1.html,6-5,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014,2014
Lamin Barrow,ILB,https://www.sports-reference.com/cfb/players/lamin-barrow-1.html,6-1,237,4.64,35.0,22,123,7.24,4.35,Denver Broncos / 5th / 156th pick / 2014,2014
Deion Belue,CB,https://www.sports-reference.com/cfb/players/deion-belue-1.html,5-11,182,4.48,,11,,,,,2014
Kelvin Benjamin,WR,https://www.sports-reference.com/cfb/players/kelvin-benjamin-1.html,6-5,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014,2014
Bene' Benwikere,CB,https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,5-11,195,4.59,40.5,10,122,6.94,4.38,Carolina Panthers / 5th / 148th pick / 2014,2014
Nat Berhe,S,https://www.sports-reference.com/cfb/players/nat-berhe-1.html,5-10,193,4.71,35.5,15,117,7.08,4.22,New York Giants / 5th / 152nd pick / 2014,2014
Kapri Bibbs,RB,https://www.sports-reference.com/cfb/players/kapri-bibbs-1.html,5-9,212,4.67,29.0,24,106,,,,2014
Joel Bitonio,OG,https://www.sports-reference.com/cfb/players/joel-bitonio-1.html,6-4,302,4.92,32.0,22,114,7.37,4.44,Cleveland Browns / 2nd / 35th pick / 2014,2014
Rob Blanchflower,TE,https://www.sports-reference.com/cfb/players/rob-blanchflower-1.html,6-4,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014,2014
