Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Mehdi Abdesmad,DE,https://www.sports-reference.com/cfb/players/mehdi-abdesmad-1.html,6-6,284,5.10,29.5,25,108,7.55,4.62,,2016
Mehdi Abdesmad,QB,https://www.sports-reference.com/cfb/players/vernon-adams-1.html,5-11,200,4.83,29.5,,114,6.82,4.20,,2016
Jerell Adams,TE,https://www.sports-reference.com/cfb/players/jerell-adams-1.html,6-5,247,4.64,32.5,,117,7.05,4.31,New York Giants / 6th / 184th pick / 2016,2016
Bralon Addison,WR,https://www.sports-reference.com/cfb/players/bralon-addison-1.html,5-9,197,4.66,34.5,13,116,6.95,4.14,,2016
Roberto Aguayo,K,https://www.sports-reference.com/cfb/players/roberto-aguayo-1.html,6-0,207,4.96,,,,,,Tampa Bay Buccaneers / 2nd / 59th pick / 2016,2016
Dominique Alexander,ILB,https://www.sports-reference.com/cfb/players/dominique-alexander-1.html,6-0,232,4.64,28.5,17,104,,,,2016
Mackensie Alexander,CB,https://www.sports-reference.com/cfb/players/mackensie-alexander-1.html,5-10,190,4.43,,11,,,,Minnesota Vikings / 2nd / 54th pick / 2016,2016
Vadal Alexander,OT,https://www.sports-reference.com/cfb/players/vadal-alexander-1.html,6-5,326,5.57,24.0,25,95,8.04,4.90,Oakland Raiders / 7th / 234th pick / 2016,2016
Brandon Allen,QB,https://www.sports-reference.com/cfb/players/brandon-allen-2.html,6-1,217,4.84,28.0,,110,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick / 2016,2016
Jack Allen,C,https://www.sports-reference.com/cfb/players/jack-allen-2.html,6-1,294,5.29,26.5,23,101,7.90,4.73,,2016
Geronimo Allison,WR,https://www.sports-reference.com/cfb/players/geronimo-allison-1.html,6-3,196,4.67,33.0,,127,7.40,4.28,,2016
Stephen Anderson,TE,https://www.sports-reference.com/cfb/players/stephen-anderson-2.html,6-2,230,4.59,38.0,16,119,,,,2016
Eli Apple,CB,https://www.sports-reference.com/cfb/players/eli-apple-1.html,6-1,199,4.40,,13,,,,New York Giants / 1st / 10th pick / 2016,2016
Demarcus Ayers,WR,https://www.sports-reference.com/cfb/players/demarcus-ayers-1.html,5-9,182,4.72,33.0,,123,,,Pittsburgh Steelers / 7th / 229th pick / 2016,2016
Demarcus Ayers,DE,https://www.sports-reference.com/cfb/players/sterling-bailey-1.html,6-4,285,5.23,30.0,20,111,7.46,4.73,,2016
Peyton Barber,RB,https://www.sports-reference.com/cfb/players/peyton-barber-1.html,5-10,228,4.64,32.5,20,111,7.00,4.21,,2016
Jimmy Bean,DE,https://www.sports-reference.com/cfb/players/jimmy-bean-1.html,6-5,264,4.87,,20,,,,,2016
Willie Beavers,OT,https://www.sports-reference.com/cfb/players/willie-beavers-1.html,6-5,321,5.28,25.5,20,103,7.96,4.71,Minnesota Vikings / 4th / 121st pick / 2016,2016
Vonn Bell,S,https://www.sports-reference.com/cfb/players/vonn-bell-2.html,5-11,199,4.52,,16,,,,New Orleans Saints / 2nd / 61st pick / 2016,2016
Caleb Benenoch,OT,https://www.sports-reference.com/cfb/players/caleb-benenoch-1.html,6-5,311,4.98,28.0,,104,8.15,5.11,Tampa Bay Buccaneers / 5th / 148th pick / 2016,2016
Andrew Billings,DT,https://www.sports-reference.com/cfb/players/andrew-billings-1.html,6-1,311,5.05,27.5,31,113,8.05,4.82,Cincinnati Bengals / 4th / 122nd pick / 2016,2016
Ronald Blair,DE,https://www.sports-reference.com/cfb/players/ronald-blair-1.html,6-2,284,5.15,30.0,32,113,7.95,4.53,San Francisco 49ers / 5th / 142nd pick / 2016,2016
