Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Kris Abrams-Draine,CB,https://www.sports-reference.com/cfb/players/kris-abrams-draine-1.html,5-11,179,4.44,33.5,,,,,
Isaiah Adams,G,https://www.sports-reference.com/cfb/players/isaiah-adams-1.html,6-4,315,5.22,24.5,,102,7.77,4.73,
Rasheen Ali,RB,https://www.sports-reference.com/cfb/players/rasheen-ali-1.html,5-11,206,,,,,,,
Erick All,TE,https://www.sports-reference.com/cfb/players/erick-all-1.html,6-4,252,,,,,,,
Braelon Allen,RB,https://www.sports-reference.com/cfb/players/braelon-allen-1.html,6-1,235,,32.0,26,117,,,
Joe Alt,OT,https://www.sports-reference.com/cfb/players/joe-alt-1.html,6-9,321,5.05,28.0,,112,7.31,4.51,
Joe Alt,OT,https://www.sports-reference.com/cfb/players/joe-alt-1.html,6-5,323,,,,,,,
Daijahn Anthony,SAF,https://www.sports-reference.com/cfb/players/daijahn-anthony-1.html,6-0,195,4.55,37.0,,116,,,
Terrion Arnold,CB,https://www.sports-reference.com/cfb/players/terrion-arnold-1.html,6-0,189,4.50,37.0,,129,,,
Gottlieb Ayedze,G,https://www.sports-reference.com/cfb/players/gottlieb-ayedze-1.html,6-4,308,5.01,26.5,,112,,,
Emani Bailey,RB,https://www.sports-reference.com/cfb/players/emani-bailey-1.html,5-7,202,4.61,33.5,,116,,,
Javon Baker,WR,https://www.sports-reference.com/cfb/players/javon-baker-1.html,6-1,202,4.54,37.0,,121,,,
AJ Barner,TE,https://www.sports-reference.com/cfb/players/aj-barner-1.html,6-6,251,,,,,,,
AJ Barner,G,https://www.sports-reference.com/cfb/players/karsen-barnhart-1.html,6-5,306,5.21,29.5,,111,7.83,4.70,
Michael Barrett,LB,https://www.sports-reference.com/cfb/players/michael-barrett-1.html,5-11,233,,,,,,,
Graham Barton,C,https://www.sports-reference.com/cfb/players/graham-barton-1.html,6-5,313,,,,,,,
Cooper Beebe,G,https://www.sports-reference.com/cfb/players/cooper-beebe-1.html,6-3,322,5.03,27.5,,109,7.44,4.61,
Jaheim Bell,TE,https://www.sports-reference.com/cfb/players/jaheim-bell-1.html,6-2,241,4.61,35.0,,124,,,
Trey Benson,RB,https://www.sports-reference.com/cfb/players/trey-benson-2.html,6-0,216,4.39,33.5,,122,,,
JD Bertrand,LB,https://www.sports-reference.com/cfb/players/jd-bertrand-1.html,6-1,235,,,20,,,,
Tatum Bethune,LB,https://www.sports-reference.com/cfb/players/tatum-bethune-1.html,6-0,229,,,16,,,,
Keaton Bills,G,https://www.sports-reference.com/cfb/players/keaton-bills-1.html,6-5,321,5.38,29.5,,101,7.95,4.90,
Cole Bishop,SAF,https://www.sports-reference.com/cfb/players/cole-bishop-1.html,6-2,206,4.45,39.0,,124,,,
Austin Booker,EDGE,https://www.sports-reference.com/cfb/players/austin-booker-1.html,6-5,240,4.79,32.5,,120,,,
Austin Booker,C,https://www.sports-reference.com/cfb/players/austin-booker-1.html,6-4,303,4.94,32.5,,112,7.16,4.28,
Brock Bowers,TE,https://www.sports-reference.com/cfb/players/brock-bowers-1.html,6-3,243,,,,,,,
Beau Brade,SAF,https://www.sports-reference.com/cfb/players/beau-brade-2.html,6-0,203,,,,,,,
Beau Brade,SAF,https://www.sports-reference.com/cfb/players/beau-brade-2.html,5-11,191,4.42,38.5,15,124,,,
Chris Braswell,EDGE,https://www.sports-reference.com/cfb/players/chris-braswell-1.html,6-3,251,4.60,33.5,,115,,,
Jonathon Brooks,RB,https://www.sports-reference.com/cfb/players/jonathon-brooks-1.html,6-0,216,,,,,,,
Jarvis Brownlee,CB,https://www.sports-reference.com/cfb/players/jarvis-brownlee-1.html,5-10,194,,,,,,,
Javon Bullard,SAF,https://www.sports-reference.com/cfb/players/javon-bullard-1.html,5-11,198,4.47,,,,,,
