Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Keith Adams,OLB,https://www.sports-reference.com/cfb/players/keith-adams-1.html,5-11,219,4.82,,24,104,,,Tennessee Titans / 7th / 232nd pick / 2001
Hakim Akbar,S,https://www.sports-reference.com/cfb/players/hakim-akbar-1.html,6-0,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001
Brian Allen,OLB,https://www.sports-reference.com/cfb/players/brian-allen-1.html,6-0,238,4.65,,25,,,,St. Louis Rams / 3rd / 83rd pick / 2001
David Allen,RB,https://www.sports-reference.com/cfb/players/david-allen-1.html,5-9,194,4.62,31.0,15,111,,,
Matt Allen,P,https://www.sports-reference.com/cfb/players/david-allen-1.html,6-3,246,,,,,,,
Will Allen,CB,https://www.sports-reference.com/cfb/players/will-allen-2.html,5-10,192,4.44,39.5,14,121,6.78,3.90,New York Giants / 1st / 22nd pick / 2001
Scotty Anderson,WR,https://www.sports-reference.com/cfb/players/will-allen-2.html,6-2,184,4.57,34.5,,115,,,Detroit Lions / 5th / 148th pick / 2001
Adam Archuleta,S,https://www.sports-reference.com/cfb/players/adam-archuleta-1.html,6-0,211,4.46,,31,,,,St. Louis Rams / 1st / 20th pick / 2001
Tom Ashworth,OG,https://www.sports-reference.com/cfb/players/tom-ashworth-1.html,6-6,293,5.11,33.5,20,109,7.40,4.30,
Billy Baber,TE,https://www.sports-reference.com/cfb/players/billy-baber-1.html,6-4,255,4.76,33.0,22,106,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001
Jeff Backus,OT,https://www.sports-reference.com/cfb/players/billy-baber-1.html,6-5,310,5.37,27.0,25,99,8.27,4.67,Detroit Lions / 1st / 18th pick / 2001
Rodney Bailey,DE,https://www.sports-reference.com/cfb/players/billy-baber-1.html,6-3,283,5.10,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001
Jason Baker,P,https://www.sports-reference.com/cfb/players/jason-baker-1.html,6-1,198,,,,,,,
Alex Bannister,WR,https://www.sports-reference.com/cfb/players/jason-baker-1.html,6-5,201,4.47,30.5,,110,,,Seattle Seahawks / 5th / 140th pick / 2001
Kevan Barlow,RB,https://www.sports-reference.com/cfb/players/kevan-barlow-1.html,6-1,235,4.56,,,,,,San Francisco 49ers / 3rd / 80th pick / 2001
Idrees Bashir,S,https://www.sports-reference.com/cfb/players/idrees-bashir-1.html,6-2,206,4.56,40.0,22,126,7.14,4.20,Indianapolis Colts / 2nd / 37th pick / 2001
Gary Baxter,CB,https://www.sports-reference.com/cfb/players/idrees-bashir-1.html,6-2,204,4.53,37.5,,122,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001
Gary Baxter,QB,https://www.sports-reference.com/cfb/players/jonathan-beasley-1.html,6-0,227,4.85,29.5,,102,7.55,4.38,
