Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
John Abraham,OLB,https://www.sports-reference.com/cfb/players/brian-young-1.html,6-4,252,4.55,,,,,,New York Jets / 1st / 13th pick / 2000
Shaun Alexander,RB,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,6-0,218,4.58,,,,,,Seattle Seahawks / 1st / 19th pick / 2000
Darnell Alford,OT,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,6-4,334,5.56,25.0,23,94,8.48,4.98,Kansas City Chiefs / 6th / 188th pick / 2000
Darnell Alford,TE,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,6-2,253,4.97,29.0,,104,7.29,4.49,
Rashard Anderson,CB,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,6-2,206,4.55,34.0,,123,7.18,4.15,Carolina Panthers / 1st / 23rd pick / 2000
Jake Arians,K,https://www.sports-reference.com/cfb/players/shaun-alexander-1.html,5-10,202,,,,,,,
LaVar Arrington,OLB,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,6-3,250,4.53,,,,,,Washington Redskins / 1st / 2nd pick / 2000
Corey Atkins,OLB,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,6-0,237,4.72,31.0,21,112,7.96,4.39,
Corey Atkins,K,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,6-0,167,,,,,,,
Reggie Austin,CB,https://www.sports-reference.com/cfb/players/lavar-arrington-1.html,5-9,175,4.44,35.0,17,119,7.03,4.14,Chicago Bears / 4th / 125th pick / 2000
John Baker,P,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-3,227,,,,,,,
John Baker,OT,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-6,312,5.34,28.0,20,96,7.72,4.73,Jacksonville Jaguars / 7th / 247th pick / 2000
Rashidi Barnes,S,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-0,208,4.62,35.0,10,114,6.92,4.32,Cleveland Browns / 7th / 225th pick / 2000
David Barrett,CB,https://www.sports-reference.com/cfb/players/john-baker-3.html,5-10,199,4.44,37.5,16,116,6.81,4.04,Arizona Cardinals / 4th / 102nd pick / 2000
William Bartee,CB,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-1,192,4.43,38.5,,124,6.70,3.99,Kansas City Chiefs / 2nd / 54th pick / 2000
William Bartee,P,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-2,200,,,,,,,
William Bartee,OG,https://www.sports-reference.com/cfb/players/john-baker-3.html,6-3,312,5.19,,29,,,,
Robert Bean,CB,https://www.sports-reference.com/cfb/players/john-baker-3.html,5-11,178,4.50,34.5,,122,6.87,4.20,Cincinnati Bengals / 5th / 133rd pick / 2000
Anthony Becht,TE,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-6,270,4.78,33.5,,123,6.94,4.08,New York Jets / 1st / 27th pick / 2000
Anthony Becht,ILB,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-3,234,4.65,,,,,,
Rogers Beckett,S,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-1,207,4.62,39.5,15,119,6.48,4.29,San Diego Chargers / 2nd / 43rd pick / 2000
Brad Bedell,OG,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-4,302,5.07,31.5,17,103,7.76,4.58,Cleveland Browns / 6th / 206th pick / 2000
Marcus Bell,ILB,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-2,237,4.78,31.5,21,111,7.17,4.33,Seattle Seahawks / 4th / 116th pick / 2000
Gary Berry,S,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,5-11,204,4.55,,,,,,Green Bay Packers / 4th / 126th pick / 2000
Gary Berry,DE,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-4,274,5.09,29.0,26,105,7.68,4.49,Minnesota Vikings / 2nd / 56th pick / 2000
Matt Bowen,S,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-1,201,4.49,33.0,12,115,7.06,4.09,St. Louis Rams / 6th / 198th pick / 2000
Matt Bowen,DT,https://www.sports-reference.com/cfb/players/anthony-becht-1.html,6-2,300,5.03,,,,,,
Tom Brady,QB,https://www.sports-reference.com/cfb/players/tom-brady-1.html,6-4,211,5.28,24.5,,99,7.20,4.38,New England Patriots / 6th / 199th pick / 2000
Tom Brady,DT,https://www.sports-reference.com/cfb/players/tom-brady-1.html,6-4,309,5.19,28.5,28,99,7.82,4.70,
Tom Brady,RB,https://www.sports-reference.com/cfb/players/tom-brady-1.html,5-11,216,4.66,30.0,,117,6.64,4.08,
Tom Brady,RB,https://www.sports-reference.com/cfb/players/tom-brady-1.html,6-0,217,4.72,31.0,,107,7.17,4.39,
Courtney Brown,DE,https://www.sports-reference.com/cfb/players/courtney-brown-1.html,6-5,269,4.78,,,,,,Cleveland Browns / 1st / 1st pick / 2000
Mike Brown,S,https://www.sports-reference.com/cfb/players/courtney-brown-1.html,5-10,204,4.59,36.0,14,116,6.93,4.01,Chicago Bears / 2nd / 39th pick / 2000
Ralph Brown,CB,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,5-10,185,4.55,,10,,,,New York Giants / 5th / 140th pick / 2000
Travis Brown,QB,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,6-3,218,5.01,29.0,,101,7.54,4.87,
Lamont Bryant,DE,https://www.sports-reference.com/cfb/players/ralph-brown-2.html,6-3,260,4.91,,17,,,,
Marc Bulger,QB,https://www.sports-reference.com/cfb/players/marc-bulger-1.html,6-2,208,4.97,,,100,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000
Keith Bulluck,OLB,https://www.sports-reference.com/cfb/players/marc-bulger-1.html,6-3,244,4.47,38.0,,119,7.33,4.13,Tennessee Titans / 1st / 30th pick / 2000
Keith Bulluck,QB,https://www.sports-reference.com/cfb/players/marc-bulger-1.html,6-4,206,5.03,28.5,,107,7.46,4.42,
Plaxico Burress,WR,https://www.sports-reference.com/cfb/players/plaxico-burress-1.html,6-5,231,4.59,33.0,,115,,,Pittsburgh Steelers / 1st / 8th pick / 2000
Plaxico Burress,CB,https://www.sports-reference.com/cfb/players/plaxico-burress-1.html,5-11,202,4.53,36.0,14,117,7.18,4.39,
Trung Canidate,RB,https://www.sports-reference.com/cfb/players/trung-canidate-1.html,5-11,193,4.41,,18,,,,St. Louis Rams / 1st / 31st pick / 2000
Cooper Carlisle,OG,https://www.sports-reference.com/cfb/players/trung-canidate-1.html,6-5,297,5.16,31.0,28,100,7.82,4.48,Denver Broncos / 4th / 112th pick / 2000
Cooper Carlisle,QB,https://www.sports-reference.com/cfb/players/trung-canidate-1.html,6-3,224,4.74,36.5,,119,6.94,4.23,San Francisco 49ers / 3rd / 65th pick / 2000
Leonardo Carson,DE,https://www.sports-reference.com/cfb/players/trung-canidate-1.html,6-1,283,5.06,28.0,22,106,7.82,4.75,San Diego Chargers / 4th / 113th pick / 2000
Tyrone Carter,S,https://www.sports-reference.com/cfb/players/tyrone-carter-1.html,5-8,190,4.50,41.0,16,121,6.75,4.19,Minnesota Vikings / 4th / 118th pick / 2000
Kwame Cavil,WR,https://www.sports-reference.com/cfb/players/kwame-cavil-1.html,6-2,208,4.54,39.5,,118,,,
Kwame Cavil,QB,https://www.sports-reference.com/cfb/players/kwame-cavil-1.html,6-2,216,4.96,,,,,,
Doug Chapman,RB,https://www.sports-reference.com/cfb/players/doug-chapman-1.html,5-10,215,4.56,38.5,16,128,6.84,4.20,Minnesota Vikings / 3rd / 88th pick / 2000
Ike Charlton,CB,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,5-11,205,4.47,,16,126,,,Seattle Seahawks / 2nd / 52nd pick / 2000
Ike Charlton,CB,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,5-11,205,4.47,,16,126,,,Seattle Seahawks / 2nd / 52nd pick / 2000
Ike Charlton,RB,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-1,232,4.56,,,115,,,
Ike Charlton,OT,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-7,304,5.08,31.0,28,103,7.65,4.65,Jacksonville Jaguars / 4th / 123rd pick / 2000
Ike Charlton,S,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,5-11,197,4.59,,,,,,
Ike Charlton,C,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-5,302,5.20,,25,,,,
Kendrick Clancy,DT,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-1,283,5.25,27.5,25,108,7.98,4.65,Pittsburgh Steelers / 3rd / 72nd pick / 2000
Travis Claridge,OG,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-5,303,5.15,31.5,29,100,7.77,4.86,Atlanta Falcons / 2nd / 37th pick / 2000
Danny Clark,ILB,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-2,245,4.75,,20,,,,Jacksonville Jaguars / 7th / 245th pick / 2000
Chad Clifton,OT,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,6-5,334,5.05,30.5,24,102,7.58,4.73,Green Bay Packers / 2nd / 44th pick / 2000
Chris Cole,WR,https://www.sports-reference.com/cfb/players/chris-cole-2.html,6-0,191,4.37,37.5,,125,6.76,4.09,Denver Broncos / 3rd / 70th pick / 2000
Chris Coleman,WR,https://www.sports-reference.com/cfb/players/chris-coleman-1.html,6-0,211,4.61,32.5,,110,6.79,4.10,
Cosey Coleman,OG,https://www.sports-reference.com/cfb/players/cosey-coleman-1.html,6-4,322,5.40,28.0,,101,8.15,4.97,Tampa Bay Buccaneers / 2nd / 51st pick / 2000
Laveranues Coles,WR,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,5-11,192,4.41,34.0,,115,6.89,4.39,New York Jets / 3rd / 78th pick / 2000
Chris Combs,DT,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,6-5,286,5.16,,22,,,,Pittsburgh Steelers / 6th / 173rd pick / 2000
Chris Combs,OT,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,6-4,291,5.49,33.0,27,103,8.14,4.84,
Chris Combs,DE,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,6-3,276,5.00,35.5,25,121,7.65,4.45,
Chris Combs,DT,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,6-3,277,5.22,28.0,,108,7.41,4.49,
Chris Combs,S,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,5-10,208,4.67,,16,117,,,
Renard Cox,CB,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,5-11,192,4.68,38.0,13,111,7.10,,
Casey Crawford,TE,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,6-6,244,4.83,,18,,,,
Casey Crawford,CB,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,6-1,197,4.44,39.0,,125,6.34,3.94,
Casey Crawford,WR,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,6-3,217,4.74,33.0,,115,7.20,4.24,
Casey Crawford,WR,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,5-10,211,4.54,,,,,,
Casey Crawford,TE,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,6-7,268,5.06,30.0,13,108,7.33,4.67,
Casey Crawford,RB,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,5-8,189,4.81,32.0,13,109,7.04,4.47,
Casey Crawford,OG,https://www.sports-reference.com/cfb/players/casey-crawford-1.html,6-4,309,5.66,26.0,,92,8.51,5.00,
JaJuan Dawson,WR,https://www.sports-reference.com/cfb/players/jajuan-dawson-1.html,6-1,199,4.55,34.0,,117,6.96,4.16,Cleveland Browns / 3rd / 79th pick / 2000
Ron Dayne,RB,https://www.sports-reference.com/cfb/players/ron-dayne-1.html,5-11,259,4.65,,,,,,New York Giants / 1st / 11th pick / 2000
Jerry DeLoach,DT,https://www.sports-reference.com/cfb/players/ron-dayne-1.html,6-3,314,4.99,31.5,19,101,7.40,4.57,
Jerry DeLoach,DT,https://www.sports-reference.com/cfb/players/ron-dayne-1.html,6-2,314,5.28,27.5,27,96,7.67,4.80,
Na'il Diggs,OLB,https://www.sports-reference.com/cfb/players/ron-dayne-1.html,6-4,231,4.66,,,,,,Green Bay Packers / 4th / 98th pick / 2000
Reuben Droughns,RB,https://www.sports-reference.com/cfb/players/reuben-droughns-1.html,5-11,215,4.66,30.0,13,115,7.34,4.41,Detroit Lions / 3rd / 81st pick / 2000
Ron Dugans,WR,https://www.sports-reference.com/cfb/players/ron-dugans-1.html,6-1,206,4.58,,,117,,,Cincinnati Bengals / 3rd / 66th pick / 2000
Deon Dyer,FB,https://www.sports-reference.com/cfb/players/deon-dyer-1.html,5-11,260,4.99,28.0,,104,7.88,4.81,Miami Dolphins / 4th / 117th pick / 2000
Deon Dyer,OLB,https://www.sports-reference.com/cfb/players/deon-dyer-1.html,6-5,226,4.65,,,,,,
Mario Edwards,CB,https://www.sports-reference.com/cfb/players/mario-edwards-3.html,6-0,191,4.46,,,120,,,Dallas Cowboys / 6th / 180th pick / 2000
Shaun Ellis,DE,https://www.sports-reference.com/cfb/players/mario-edwards-3.html,6-4,280,4.85,,,,,,New York Jets / 1st / 12th pick / 2000
John Engelberger,DE,https://www.sports-reference.com/cfb/players/john-engelberger-1.html,6-4,260,4.73,34.0,24,115,6.95,4.28,San Francisco 49ers / 2nd / 35th pick / 2000
John Engelberger,ILB,https://www.sports-reference.com/cfb/players/john-engelberger-1.html,6-1,242,4.68,34.5,8,,,,
John Engelberger,WR,https://www.sports-reference.com/cfb/players/john-engelberger-1.html,6-0,190,4.51,33.0,,108,6.63,3.94,
Danny Farmer,WR,https://www.sports-reference.com/cfb/players/danny-farmer-1.html,6-3,217,4.58,,,,,,Pittsburgh Steelers / 4th / 103rd pick / 2000
Danny Farmer,QB,https://www.sports-reference.com/cfb/players/danny-farmer-1.html,5-11,207,4.92,31.0,,106,7.30,4.45,
Danny Farmer,WR,https://www.sports-reference.com/cfb/players/danny-farmer-1.html,6-1,196,4.43,,,,,,
Aaron Fields,DE,https://www.sports-reference.com/cfb/players/danny-farmer-1.html,6-4,243,4.76,34.0,22,115,7.51,4.56,
Zeron Flemister,TE,https://www.sports-reference.com/cfb/players/zeron-flemister-1.html,6-4,249,4.72,37.0,14,116,6.92,4.16,
Erik Flowers,DE,https://www.sports-reference.com/cfb/players/zeron-flemister-1.html,6-4,271,4.75,33.0,24,114,7.21,4.15,Buffalo Bills / 1st / 26th pick / 2000
Erik Flowers,RB,https://www.sports-reference.com/cfb/players/zeron-flemister-1.html,5-11,201,4.43,34.5,19,117,6.84,4.36,
Larry Foster,WR,https://www.sports-reference.com/cfb/players/larry-foster-1.html,5-10,198,4.55,37.0,,121,6.88,4.06,
Larry Foster,DE,https://www.sports-reference.com/cfb/players/larry-foster-1.html,6-4,280,4.78,37.0,32,117,7.07,4.27,Philadelphia Eagles / 6th / 178th pick / 2000
Bubba Franks,TE,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,6-6,265,4.85,,,,,,Green Bay Packers / 1st / 14th pick / 2000
Todd Franz,S,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,6-1,199,4.55,,14,,,,Detroit Lions / 5th / 145th pick / 2000
Todd Franz,S,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,6-1,199,4.55,,14,,,,Detroit Lions / 5th / 145th pick / 2000
