Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Arturo Freeman,S,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,6-0,188,4.50,35.5,14,124,6.91,4.38,Miami Dolphins / 5th / 152nd pick / 2000
Byron Frisch,DE,https://www.sports-reference.com/cfb/players/bubba-franks-1.html,6-4,281,4.73,34.5,31,114,7.20,4.41,Tennessee Titans / 3rd / 93rd pick / 2000
Mondriel Fulcher,FB,https://www.sports-reference.com/cfb/players/mondriel-fulcher-1.html,6-3,253,4.85,27.0,18,116,7.46,4.52,Oakland Raiders / 7th / 227th pick / 2000
Trent Gamble,S,https://www.sports-reference.com/cfb/players/mondriel-fulcher-1.html,5-9,186,4.56,37.0,21,124,6.60,3.90,
Trent Gamble,TE,https://www.sports-reference.com/cfb/players/mondriel-fulcher-1.html,6-3,249,4.62,32.5,22,113,7.15,4.30,Pittsburgh Steelers / 6th / 204th pick / 2000
Trevor Gaylor,WR,https://www.sports-reference.com/cfb/players/trevor-gaylor-1.html,6-3,199,4.56,37.5,,121,7.03,4.29,San Diego Chargers / 4th / 111th pick / 2000
Kabeer Gbaja-Biamila,OLB,https://www.sports-reference.com/cfb/players/trevor-gaylor-1.html,6-4,243,4.65,34.0,21,120,6.90,4.28,Green Bay Packers / 5th / 149th pick / 2000
Kabeer Gbaja-Biamila,WR,https://www.sports-reference.com/cfb/players/trevor-gaylor-1.html,5-11,173,4.66,,,,,,New Orleans Saints / 6th / 200th pick / 2000
Ian Gold,OLB,https://www.sports-reference.com/cfb/players/ian-gold-1.html,6-1,221,4.56,33.0,21,115,6.97,4.19,Denver Broncos / 2nd / 40th pick / 2000
Dwayne Goodrich,CB,https://www.sports-reference.com/cfb/players/ian-gold-1.html,5-11,195,4.45,,,,,,Dallas Cowboys / 2nd / 49th pick / 2000
Dwayne Goodrich,CB,https://www.sports-reference.com/cfb/players/ian-gold-1.html,5-11,188,4.62,32.0,16,117,7.30,4.30,
Deon Grant,S,https://www.sports-reference.com/cfb/players/deon-grant-1.html,6-2,209,4.50,,15,,,,Carolina Panthers / 2nd / 57th pick / 2000
Ernest Grant,DT,https://www.sports-reference.com/cfb/players/deon-grant-1.html,6-5,316,5.31,29.5,24,98,8.00,5.03,Miami Dolphins / 6th / 167th pick / 2000
Ernest Grant,OT,https://www.sports-reference.com/cfb/players/deon-grant-1.html,6-4,338,5.85,23.0,20,94,,,
Ernest Grant,CB,https://www.sports-reference.com/cfb/players/deon-grant-1.html,6-1,214,4.94,33.5,19,116,7.38,4.24,
Barrett Green,OLB,https://www.sports-reference.com/cfb/players/barrett-green-1.html,6-0,233,4.56,36.0,22,120,,,Detroit Lions / 2nd / 50th pick / 2000
Mike Green,S,https://www.sports-reference.com/cfb/players/barrett-green-1.html,6-0,189,4.53,38.5,,118,,4.20,Tennessee Titans / 7th / 213th pick / 2000
Mike Green,FB,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-0,253,4.78,28.5,25,108,7.08,4.34,Tennessee Titans / 7th / 213th pick / 2000
Damian Gregory,DT,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-2,307,4.87,30.0,27,105,7.37,4.60,
Cornelius Griffin,DE,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-3,297,4.90,31.0,30,111,7.63,4.62,New York Giants / 2nd / 42nd pick / 2000
Clark Haggans,OLB,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-3,253,4.97,31.5,20,109,7.12,4.21,Pittsburgh Steelers / 5th / 137th pick / 2000
Clark Haggans,WR,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-2,206,4.52,,,,,,
Clark Haggans,RB,https://www.sports-reference.com/cfb/players/mike-green-4.html,5-8,191,4.44,38.0,18,123,6.62,3.82,
James Hall,DE,https://www.sports-reference.com/cfb/players/mike-green-4.html,6-2,271,5.03,32.0,,111,7.86,4.51,
Troy Hambrick,RB,https://www.sports-reference.com/cfb/players/troy-hambrick-1.html,6-0,237,4.66,34.5,21,118,7.48,4.44,
Troy Hambrick,WR,https://www.sports-reference.com/cfb/players/troy-hambrick-1.html,6-1,201,4.54,36.0,,116,7.57,4.41,
Joe Hamilton,QB,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,5-10,192,4.81,,,106,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000
Joe Hamilton,RB,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,6-0,197,4.50,32.0,17,125,6.97,4.07,Philadelphia Eagles / 6th / 171st pick / 2000
Joe Hamilton,FB,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,5-10,238,4.81,30.0,,109,7.27,4.36,
Antwan Harris,CB,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,5-9,186,4.34,39.0,16,121,6.75,4.01,New England Patriots / 6th / 187th pick / 2000
Antwan Harris,CB,https://www.sports-reference.com/cfb/players/joe-hamilton-1.html,6-0,190,4.53,34.5,,114,6.73,4.25,Miami Dolphins / 7th / 232nd pick / 2000
Lloyd Harrison,CB,https://www.sports-reference.com/cfb/players/lloyd-harrison-1.html,5-10,190,4.50,37.5,16,119,7.12,4.25,Washington Redskins / 3rd / 64th pick / 2000
Windrell Hayes,WR,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,5-11,204,4.50,,,,7.33,4.18,New York Jets / 5th / 143rd pick / 2000
Windrell Hayes,OG,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-1,312,5.40,29.0,20,94,7.94,4.63,
Steve Herndon,OG,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-4,297,5.23,,,,,,
Steve Herndon,WR,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-1,215,4.54,34.5,,116,7.14,4.21,
Steve Herndon,P,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-2,234,,,,,,,
Chris Hovan,DT,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-2,305,4.99,30.0,35,101,6.85,4.16,Minnesota Vikings / 1st / 25th pick / 2000
Darren Howard,DE,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-4,281,5.09,29.0,,108,7.00,4.32,New Orleans Saints / 2nd / 33rd pick / 2000
Reggie Howard,CB,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,5-11,190,4.55,,,,,,
Reggie Howard,CB,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,5-11,186,4.56,,16,,6.98,4.13,Washington Redskins / 7th / 250th pick / 2000
Reggie Howard,DE,https://www.sports-reference.com/cfb/players/windrell-hayes-1.html,6-3,254,5.10,34.0,21,119,,,
Todd Husak,QB,https://www.sports-reference.com/cfb/players/todd-husak-1.html,6-3,216,5.20,27.5,,99,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000
Trevor Insley,WR,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-0,192,4.70,,,,,,
Junior Ioane,DT,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-3,324,5.12,,,,,,Oakland Raiders / 4th / 107th pick / 2000
Jabari Issa,DT,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-5,296,5.05,31.5,19,105,7.69,4.72,Arizona Cardinals / 6th / 176th pick / 2000
Jabari Issa,DT,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-4,319,5.20,,28,,,,
Jabari Issa,OG,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-3,304,5.20,,19,,,,
Darrell Jackson,WR,https://www.sports-reference.com/cfb/players/trevor-insley-1.html,6-0,197,4.56,,,,,,Seattle Seahawks / 3rd / 80th pick / 2000
Jarious Jackson,QB,https://www.sports-reference.com/cfb/players/jarious-jackson-1.html,6-0,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000
Jarious Jackson,QB,https://www.sports-reference.com/cfb/players/jarious-jackson-1.html,6-0,226,4.68,,,109,,,Denver Broncos / 7th / 214th pick / 2000
Marlion Jackson,RB,https://www.sports-reference.com/cfb/players/jarious-jackson-1.html,6-1,242,4.60,35.5,24,125,7.15,4.14,
Jeno James,OG,https://www.sports-reference.com/cfb/players/jarious-jackson-1.html,6-3,320,5.62,25.5,24,94,8.51,5.22,Carolina Panthers / 6th / 182nd pick / 2000
Sebastian Janikowski,K,https://www.sports-reference.com/cfb/players/sebastian-janikowski-1.html,6-1,260,,,,,,,Oakland Raiders / 1st / 17th pick / 2000
Ronney Jenkins,RB,https://www.sports-reference.com/cfb/players/ronney-jenkins-1.html,5-10,184,4.50,,18,118,,,
Brandon Jennings,S,https://www.sports-reference.com/cfb/players/ronney-jenkins-1.html,6-0,198,4.51,38.0,16,123,6.91,4.14,
Brandon Jennings,OG,https://www.sports-reference.com/cfb/players/ronney-jenkins-1.html,6-6,310,5.25,29.0,,107,7.90,4.66,
Brandon Jennings,OG,https://www.sports-reference.com/cfb/players/ronney-jenkins-1.html,6-4,345,5.56,28.0,35,99,8.07,4.99,Indianapolis Colts / 5th / 138th pick / 2000
Doug Johnson,QB,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-2,226,4.95,29.5,,96,,,
Dwight Johnson,DT,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-4,285,4.97,28.0,26,105,7.51,4.76,
Eric Johnson,S,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-0,215,4.60,38.0,12,121,6.96,4.17,San Francisco 49ers / 7th / 224th pick / 2001
Jerry Johnson,DT,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-0,293,5.03,28.5,26,102,,,Denver Broncos / 4th / 101st pick / 2000
Jerry Johnson,WR,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-0,191,4.66,,,,,,
Dhani Jones,OLB,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-1,240,4.68,,29,,,,New York Giants / 6th / 177th pick / 2000
Fred Jones,OLB,https://www.sports-reference.com/cfb/players/doug-johnson-3.html,6-2,247,4.95,32.0,17,113,7.27,4.39,
John Jones,TE,https://www.sports-reference.com/cfb/players/john-jones-2.html,6-4,248,4.63,38.5,13,125,7.33,4.43,
Thomas Jones,RB,https://www.sports-reference.com/cfb/players/thomas-jones-1.html,5-10,216,4.45,,,,,,Arizona Cardinals / 1st / 7th pick / 2000
Leander Jordan,OG,https://www.sports-reference.com/cfb/players/thomas-jones-1.html,6-4,330,5.46,31.0,25,104,7.91,4.76,Carolina Panthers / 3rd / 82nd pick / 2000
Leander Jordan,RB,https://www.sports-reference.com/cfb/players/thomas-jones-1.html,6-1,221,4.62,37.5,29,121,6.81,4.16,
Curtis Keaton,RB,https://www.sports-reference.com/cfb/players/curtis-keaton-1.html,5-10,214,4.41,41.5,23,131,6.82,3.93,Cincinnati Bengals / 4th / 97th pick / 2000
Curtis Keaton,S,https://www.sports-reference.com/cfb/players/curtis-keaton-1.html,6-1,200,4.55,36.5,15,120,6.96,4.31,
Curtis Keaton,FB,https://www.sports-reference.com/cfb/players/curtis-keaton-1.html,5-11,235,4.74,,,,,,
Ben Kelly,CB,https://www.sports-reference.com/cfb/players/ben-kelly-1.html,5-9,183,4.53,36.0,17,116,6.63,3.95,Miami Dolphins / 3rd / 84th pick / 2000
Ben Kelly,FB,https://www.sports-reference.com/cfb/players/ben-kelly-1.html,6-0,251,4.84,35.0,24,119,,,
Kenoy Kennedy,S,https://www.sports-reference.com/cfb/players/kenoy-kennedy-1.html,6-1,221,4.71,33.5,8,113,7.08,4.38,Denver Broncos / 2nd / 45th pick / 2000
Kenoy Kennedy,S,https://www.sports-reference.com/cfb/players/kenoy-kennedy-1.html,5-11,188,4.65,,,,7.12,4.20,
Kenoy Kennedy,P,https://www.sports-reference.com/cfb/players/kenoy-kennedy-1.html,5-10,195,,,,,,,
Erron Kinney,TE,https://www.sports-reference.com/cfb/players/erron-kinney-1.html,6-6,272,4.90,,,,,,Tennessee Titans / 3rd / 68th pick / 2000
Adrian Klemm,OT,https://www.sports-reference.com/cfb/players/erron-kinney-1.html,6-4,307,4.98,,24,,,,New England Patriots / 2nd / 46th pick / 2000
Adrian Klemm,OG,https://www.sports-reference.com/cfb/players/erron-kinney-1.html,6-2,305,5.43,28.0,26,103,7.54,4.60,St. Louis Rams / 7th / 220th pick / 2000
Marcus Knight,WR,https://www.sports-reference.com/cfb/players/marcus-knight-1.html,6-1,180,4.72,28.5,,106,7.11,4.38,
