Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Anthony Bradford,OG,https://www.sports-reference.com/cfb/players/anthony-bradford-1.html,6-4,332,5.08,30.0,,106,7.84,4.80,Seattle Seahawks / 4th / 108th pick / 2023,2023
Brian Branch,CB,https://www.sports-reference.com/cfb/players/brian-branch-1.html,6-0,190,4.58,34.5,14,125,,,Detroit Lions / 2nd / 45th pick / 2023,2023
Julius Brents,CB,https://www.sports-reference.com/cfb/players/julius-brents-1.html,6-3,198,4.53,41.5,,138,6.63,4.05,Indianapolis Colts / 2nd / 44th pick / 2023,2023
Bryan Bresee,DT,https://www.sports-reference.com/cfb/players/bryan-bresee-1.html,6-6,298,4.86,29.0,22,,,,New Orleans Saints / 1st / 29th pick / 2023,2023
Nick Broeker,OG,https://www.sports-reference.com/cfb/players/nick-broeker-1.html,6-4,305,5.27,,,,7.75,4.70,Buffalo Bills / 7th / 230th pick / 2023,2023
Nick Broeker,P, ,6-5,201,,,,,,,,2023
Jalen Brooks,WR,https://www.sports-reference.com/cfb/players/jalen-brooks-2.html,6-1,201,4.69,35.0,,130,7.15,4.31,Dallas Cowboys / 7th / 244th pick / 2023,2023
Myles Brooks,CB,https://www.sports-reference.com/cfb/players/myles-brooks-1.html,6-1,201,,,,,,,,2023
Cameron Brown,CB,https://www.sports-reference.com/cfb/players/cameron-brown-2.html,6-0,199,,,,,,,,2023
Chase Brown,RB,https://www.sports-reference.com/cfb/players/chase-brown-3.html,5-10,209,4.43,40.0,,127,,,Cincinnati Bengals / 5th / 163rd pick / 2023,2023
Ji'Ayir Brown,DB,https://www.sports-reference.com/cfb/players/jiayir-brown-1.html,5-11,203,4.65,32.5,18,119,,,San Francisco 49ers / 3rd / 87th pick / 2023,2023
Sydney Brown,DB,https://www.sports-reference.com/cfb/players/sydney-brown-1.html,5-10,211,4.47,40.5,23,130,,,Philadelphia Eagles / 3rd / 66th pick / 2023,2023
Sydney Brown,WR, ,6-2,198,4.59,39.5,16,131,,,,2023
Arquon Bush,CB,https://www.sports-reference.com/cfb/players/arquon-bush-1.html,6-0,187,4.54,33.5,,115,,,,2023
Jack Campbell,LB,https://www.sports-reference.com/cfb/players/jack-campbell-1.html,6-5,249,4.65,37.5,,128,6.74,4.24,Detroit Lions / 1st / 18th pick / 2023,2023
Jack Campbell,K,https://www.sports-reference.com/cfb/players/anders-carlson-1.html,6-5,218,,,,,,,,2023
Jalen Carter,DT,https://www.sports-reference.com/cfb/players/jalen-carter-1.html,6-3,314,,,,,,,Philadelphia Eagles / 1st / 9th pick / 2023,2023
Jalen Carter,DT,https://www.sports-reference.com/cfb/players/jalen-carter-1.html,6-3,314,,,,,,,Philadelphia Eagles / 1st / 9th pick / 2023,2023
Zach Charbonnet,RB,https://www.sports-reference.com/cfb/players/zach-charbonnet-1.html,6-0,214,4.53,37.0,,122,,,Seattle Seahawks / 2nd / 52nd pick / 2023,2023
Zach Charbonnet,CB, ,5-10,181,4.42,34.5,,122,,4.21,,2023
Jerrod Clark,DT,https://www.sports-reference.com/cfb/players/jerrod-clark-1.html,6-4,334,5.25,27.5,,102,7.60,4.83,,2023
Keondre Coburn,DT,https://www.sports-reference.com/cfb/players/keondre-coburn-1.html,6-2,332,5.22,27.5,24,101,,,Kansas City Chiefs / 6th / 194th pick / 2023,2023
Chamarri Conner,DB,https://www.sports-reference.com/cfb/players/chamarri-conner-1.html,6-0,202,4.51,40.5,20,125,,,Kansas City Chiefs / 4th / 119th pick / 2023,2023
Jacob Copeland,WR,https://www.sports-reference.com/cfb/players/jacob-copeland-1.html,5-11,201,4.42,33.0,20,127,7.01,4.47,,2023
Brenton Cox,EDGE,https://www.sports-reference.com/cfb/players/brenton-cox-1.html,6-4,250,4.82,33.0,24,115,,,,2023
Malik Cunningham,QB,https://www.sports-reference.com/cfb/players/malik-cunningham-1.html,6-0,192,4.53,,,,,,,2023
Malik Cunningham,OG, ,6-6,324,5.24,26.5,,105,7.70,4.97,,2023
DJ Dale,DT,https://www.sports-reference.com/cfb/players/dj-dale-1.html,6-1,302,5.26,25.5,,98,7.69,4.80,,2023
DJ Dale,OT, ,6-4,294,4.99,30.5,,109,7.53,4.60,,2023
Derius Davis,WR,https://www.sports-reference.com/cfb/players/derius-davis-1.html,5-8,165,4.36,,,,,4.38,Los Angeles Chargers / 4th / 125th pick / 2023,2023
Nathaniel Dell,WR,https://www.sports-reference.com/cfb/players/nathaniel-dell-1.html,5-8,165,4.49,,,121,,,Houston Texans / 3rd / 69th pick / 2023,2023
SirVocea Dennis,LB,https://www.sports-reference.com/cfb/players/sirvocea-dennis-1.html,6-1,226,,,19,,,,Tampa Bay Buccaneers / 5th / 153rd pick / 2023,2023
Gervon Dexter,DT,https://www.sports-reference.com/cfb/players/gervon-dexter-1.html,6-6,310,4.88,31.0,22,110,7.50,,Chicago Bears / 2nd / 53rd pick / 2023,2023
YaYa Diaby,DE,https://www.sports-reference.com/cfb/players/yaya-diaby-1.html,6-3,263,4.51,37.0,,120,,,Tampa Bay Buccaneers / 3rd / 82nd pick / 2023,2023
YaYa Diaby,WR,https://www.sports-reference.com/cfb/players/demario-douglas-1.html,5-8,179,4.44,39.5,,134,,4.29,,2023
Josh Downs,WR,https://www.sports-reference.com/cfb/players/josh-downs-2.html,5-9,171,4.48,38.5,,131,,,Indianapolis Colts / 3rd / 79th pick / 2023,2023
Josh Downs,WR,https://www.sports-reference.com/cfb/players/grant-dubose-1.html,6-2,201,4.57,35.0,,125,6.89,4.32,,2023
Max Duggan,QB,https://www.sports-reference.com/cfb/players/max-duggan-1.html,6-2,207,4.52,30.5,,116,7.26,4.45,Los Angeles Chargers / 7th / 239th pick / 2023,2023
Max Duggan,OT, ,6-6,306,5.10,31.5,,113,,,,2023
Max Duggan,K,https://www.sports-reference.com/cfb/players/christopher-dunn-1.html,5-8,175,,,,,,,,2023
Payne Durham,TE,https://www.sports-reference.com/cfb/players/payne-durham-1.html,6-6,253,,34.5,,117,,,Tampa Bay Buccaneers / 5th / 171st pick / 2023,2023
Travis Dye,RB,https://www.sports-reference.com/cfb/players/travis-dye-1.html,5-10,201,,,,,,,,2023
Ikenna Enechukwu,DE,https://www.sports-reference.com/cfb/players/ikenna-enechukwu-1.html,6-4,264,4.70,31.5,,120,,,,2023
Tiyon Evans,RB,https://www.sports-reference.com/cfb/players/tiyon-evans-2.html,5-10,225,4.52,30.5,,,,,,2023
Zach Evans,RB,https://www.sports-reference.com/cfb/players/zach-evans-1.html,5-11,202,,,,,,,Los Angeles Rams / 6th / 215th pick / 2023,2023
Zay Flowers,WR,https://www.sports-reference.com/cfb/players/zay-flowers-1.html,5-9,182,4.42,35.5,,127,,,Baltimore Ravens / 1st / 22nd pick / 2023,2023
Emmanuel Forbes,CB,https://www.sports-reference.com/cfb/players/emmanuel-forbes-1.html,6-1,166,4.35,37.5,,131,,,Washington Commanders / 1st / 16th pick / 2023,2023
Bryce Ford-Wheaton,WR,https://www.sports-reference.com/cfb/players/bryce-ford-wheaton-1.html,6-4,221,4.38,41.0,,129,6.97,4.15,,2023
Alex Forsyth,C,https://www.sports-reference.com/cfb/players/alex-forsyth-1.html,6-4,303,,20.5,,95,,,Denver Broncos / 7th / 257th pick / 2023,2023
Isaiah Foskey,EDGE,https://www.sports-reference.com/cfb/players/isaiah-foskey-1.html,6-5,264,4.58,34.0,22,125,7.28,4.41,New Orleans Saints / 2nd / 40th pick / 2023,2023
Blake Freeland,OT,https://www.sports-reference.com/cfb/players/blake-freeland-1.html,6-8,302,4.98,37.0,,120,7.46,4.71,Indianapolis Colts / 4th / 106th pick / 2023,2023
Blake Freeland,OG,https://www.sports-reference.com/cfb/players/jon-gaines-ii-1.html,6-4,303,5.01,32.5,,114,7.31,4.45,,2023
Connor Galvin,OT,https://www.sports-reference.com/cfb/players/connor-galvin-1.html,6-7,293,5.48,30.5,,104,8.00,4.92,,2023
Mekhi Garner,CB,https://www.sports-reference.com/cfb/players/mekhi-garner-1.html,6-2,212,4.55,38.0,,128,,,,2023
Ali Gaye,EDGE,https://www.sports-reference.com/cfb/players/ali-gaye-1.html,6-6,263,,,,,,,,2023
Jahmyr Gibbs,RB,https://www.sports-reference.com/cfb/players/jahmyr-gibbs-1.html,5-9,199,4.36,33.5,,,,,Detroit Lions / 1st / 12th pick / 2023,2023
Jahmyr Gibbs,TE, ,6-6,263,,,16,,,,,2023
Christian Gonzalez,CB,https://www.sports-reference.com/cfb/players/christian-gonzalez-2.html,6-1,197,4.38,41.5,14,133,,,New England Patriots / 1st / 17th pick / 2023,2023
Richard Gouraige,OT,https://www.sports-reference.com/cfb/players/richard-gouraige-1.html,6-5,306,,,,,,,,2023
Jalen Graham,LB,https://www.sports-reference.com/cfb/players/jalen-graham-1.html,6-2,220,4.64,30.5,,112,,,San Francisco 49ers / 7th / 255th pick / 2023,2023
Eric Gray,RB,https://www.sports-reference.com/cfb/players/eric-gray-2.html,5-10,207,,37.5,,118,,,New York Giants / 5th / 172nd pick / 2023,2023
Antoine Green,WR,https://www.sports-reference.com/cfb/players/antoine-green-1.html,6-2,199,4.47,33.5,,123,6.99,4.27,Detroit Lions / 7th / 219th pick / 2023,2023
Antoine Green,OG,https://www.sports-reference.com/cfb/players/jovaughn-gwyn-1.html,6-2,297,5.12,27.5,,109,7.90,4.80,,2023
Jake Haener,QB,https://www.sports-reference.com/cfb/players/jake-haener-1.html,6-0,207,,35.0,,114,7.01,,New Orleans Saints / 4th / 127th pick / 2023,2023
Derick Hall,EDGE,https://www.sports-reference.com/cfb/players/derick-hall-1.html,6-3,254,4.55,33.5,,127,,,Seattle Seahawks / 2nd / 37th pick / 2023,2023
Jaren Hall,QB,https://www.sports-reference.com/cfb/players/jaren-hall-1.html,6-0,207,,,,,,,Minnesota Vikings / 5th / 164th pick / 2023,2023
Nick Hampton,EDGE,https://www.sports-reference.com/cfb/players/nick-hampton-1.html,6-2,236,4.58,35.5,,120,,,Los Angeles Rams / 5th / 161st pick / 2023,2023
Anton Harrison,OT,https://www.sports-reference.com/cfb/players/anton-harrison-1.html,6-4,315,4.98,28.5,,105,,,Jacksonville Jaguars / 1st / 27th pick / 2023,2023
Anton Harrison,OT,https://www.sports-reference.com/cfb/players/anton-harrison-1.html,6-4,315,4.98,28.5,,105,,,Jacksonville Jaguars / 1st / 27th pick / 2023,2023
Zach Harrison,EDGE,https://www.sports-reference.com/cfb/players/zach-harrison-1.html,6-6,274,,,25,,,,Atlanta Falcons / 3rd / 75th pick / 2023,2023
Jadon Haselwood,WR,https://www.sports-reference.com/cfb/players/jadon-haselwood-1.html,6-2,215,4.66,37.0,,123,6.98,4.31,,2023
Ryan Hayes,OT,https://www.sports-reference.com/cfb/players/ryan-hayes-1.html,6-6,298,5.18,30.0,,103,7.39,,Miami Dolphins / 7th / 238th pick / 2023,2023
Malik Heath,WR,https://www.sports-reference.com/cfb/players/malik-heath-1.html,6-2,213,4.64,34.0,,124,6.96,4.46,,2023
DeMarcco Hellams,DB,https://www.sports-reference.com/cfb/players/demarcco-hellams-1.html,6-1,203,4.57,31.0,,121,,,Atlanta Falcons / 7th / 224th pick / 2023,2023
Daiyan Henley,LB,https://www.sports-reference.com/cfb/players/daiyan-henley-1.html,6-1,225,4.54,35.0,,125,,,Los Angeles Chargers / 3rd / 85th pick / 2023,2023
Daiyan Henley,EDGE, ,6-4,251,4.63,31.5,,112,,,,2023
Nick Herbig,EDGE,https://www.sports-reference.com/cfb/players/nick-herbig-1.html,6-2,240,4.65,,25,,,,Pittsburgh Steelers / 4th / 132nd pick / 2023,2023
Shaka Heyward,LB,https://www.sports-reference.com/cfb/players/shaka-heyward-1.html,6-3,235,4.53,31.0,22,116,7.32,4.40,,2023
Ronnie Hickman,DB,https://www.sports-reference.com/cfb/players/ronnie-hickman-1.html,6-1,203,,,,,,,,2023
Elijah Higgins,WR,https://www.sports-reference.com/cfb/players/elijah-higgins-1.html,6-3,235,4.54,35.0,,126,7.01,,Miami Dolphins / 6th / 197th pick / 2023,2023
Brandon Hill,DB,https://www.sports-reference.com/cfb/players/brandon-hill-4.html,5-10,193,4.43,35.5,15,123,,,Houston Texans / 7th / 248th pick / 2023,2023
Tre'Vius Hodges-Tomlinson,CB,https://www.sports-reference.com/cfb/players/trevius-hodges-tomlinson-1.html,5-8,178,4.41,39.0,12,132,,,Los Angeles Rams / 6th / 182nd pick / 2023,2023
Hendon Hooker,QB,https://www.sports-reference.com/cfb/players/hendon-hooker-1.html,6-3,217,,,,,,,Detroit Lions / 3rd / 68th pick / 2023,2023
Dylan Horton,EDGE,https://www.sports-reference.com/cfb/players/dylan-horton-1.html,6-4,257,,34.0,18,120,,,Houston Texans / 4th / 109th pick / 2023,2023
Jordan Howden,DB,https://www.sports-reference.com/cfb/players/jordan-howden-1.html,6-0,203,4.49,33.5,14,119,,,New Orleans Saints / 5th / 146th pick / 2023,2023
Jordan Howden,RB,https://www.sports-reference.com/cfb/players/evan-hull-2.html,5-10,209,4.47,37.0,,123,6.90,4.38,,2023
Xavier Hutchinson,WR,https://www.sports-reference.com/cfb/players/xavier-hutchinson-1.html,6-2,203,4.53,36.0,,116,6.91,4.35,Houston Texans / 6th / 205th pick / 2023,2023
Jalin Hyatt,WR,https://www.sports-reference.com/cfb/players/jalin-hyatt-1.html,6-0,176,4.40,40.0,,135,,,New York Giants / 3rd / 73rd pick / 2023,2023
Mohamed Ibrahim,RB,https://www.sports-reference.com/cfb/players/mohamed-ibrahim-1.html,5-8,203,,,,,,,,2023
Mohamed Ibrahim,EDGE,https://www.sports-reference.com/cfb/players/andre-carter-ii-1.html,6-7,256,,30.0,11,109,,4.36,,2023
Mohamed Ibrahim,DB,https://www.sports-reference.com/cfb/players/jason-taylor-ii-1.html,6-0,204,4.50,43.0,14,129,,,,2023
Mohamed Ibrahim,OT, ,6-3,303,5.44,26.5,,101,7.75,4.92,,2023
Mohamed Ibrahim,DB,https://www.sports-reference.com/cfb/players/rashad-torrence-ii-1.html,6-0,193,4.72,33.5,20,119,,,,2023
Trey Dean III,DB,https://www.sports-reference.com/cfb/players/trey-dean-iii-1.html,6-2,200,4.75,36.5,25,124,,,,2023
Clark Phillips III,CB,https://www.sports-reference.com/cfb/players/clark-phillips-iii-1.html,5-9,184,4.51,33.0,18,,,4.32,Atlanta Falcons / 4th / 113th pick / 2023,2023
Siaki Ika,DT,https://www.sports-reference.com/cfb/players/siaki-ika-1.html,6-3,335,5.39,,,,7.80,4.99,Cleveland Browns / 3rd / 98th pick / 2023,2023
Thomas Incoom,EDGE,https://www.sports-reference.com/cfb/players/thomas-incoom-1.html,6-2,262,4.66,30.5,23,118,,,,2023
Thomas Incoom,WR, ,6-3,205,4.43,39.0,19,128,6.85,4.12,,2023
Thomas Incoom,EDGE, ,6-4,239,,36.0,,132,,,,2023
Kearis Jackson,WR,https://www.sports-reference.com/cfb/players/kearis-jackson-1.html,5-11,196,4.55,,,126,,,,2023
Rakim Jarrett,WR,https://www.sports-reference.com/cfb/players/rakim-jarrett-1.html,6-0,192,4.44,35.5,13,123,,,,2023
Rakim Jarrett,WR, ,6-4,199,4.56,37.0,16,133,7.03,4.56,,2023
Rakim Jarrett,WR,https://www.sports-reference.com/cfb/players/jaray-jenkins-1.html,6-2,204,4.60,29.5,20,,,,,2023
Rakim Jarrett,WR, ,6-2,224,,,,,,,,2023
Rakim Jarrett,EDGE, ,6-4,260,4.49,32.0,28,110,,,,2023
Anthony Johnson,CB,https://www.sports-reference.com/cfb/players/anthony-johnson-14.html,6-2,205,4.63,30.5,15,116,,,,2023
Antonio Johnson,DB,https://www.sports-reference.com/cfb/players/antonio-johnson-6.html,6-2,198,4.52,31.0,8,118,,,Jacksonville Jaguars / 5th / 160th pick / 2023,2023
Roschon Johnson,RB,https://www.sports-reference.com/cfb/players/roschon-johnson-1.html,6-0,219,4.58,31.5,,122,,,Chicago Bears / 4th / 115th pick / 2023,2023
Quentin Johnston,WR,https://www.sports-reference.com/cfb/players/quentin-johnston-1.html,6-3,208,,40.5,,134,,,Los Angeles Chargers / 1st / 21st pick / 2023,2023
Broderick Jones,OT,https://www.sports-reference.com/cfb/players/broderick-jones-1.html,6-5,311,4.97,30.0,,108,,,Pittsburgh Steelers / 1st / 14th pick / 2023,2023
Cam Jones,LB,https://www.sports-reference.com/cfb/players/cam-jones-1.html,6-1,226,4.69,33.0,17,,,,,2023
Charlie Jones,WR,https://www.sports-reference.com/cfb/players/charlie-jones-7.html,5-11,175,4.43,36.5,13,124,,,Cincinnati Bengals / 4th / 131st pick / 2023,2023
Dawand Jones,OT,https://www.sports-reference.com/cfb/players/dawand-jones-1.html,6-8,374,5.35,,,,,,Cleveland Browns / 4th / 111th pick / 2023,2023
Jaylon Jones,CB,https://www.sports-reference.com/cfb/players/jaylon-jones-3.html,6-2,200,4.57,38.0,14,122,6.88,4.30,Indianapolis Colts / 7th / 221st pick / 2023,2023
Nic Jones,CB,https://www.sports-reference.com/cfb/players/nic-jones-1.html,6-0,189,4.51,34.5,,122,,4.34,Kansas City Chiefs / 7th / 250th pick / 2023,2023
Tyreque Jones,DB,https://www.sports-reference.com/cfb/players/tyreque-jones-1.html,6-2,195,4.52,32.0,,119,,4.48,,2023
Brandon Joseph,DB,https://www.sports-reference.com/cfb/players/brandon-joseph-2.html,6-0,202,4.62,30.5,17,118,7.08,4.23,,2023
Brandon Joseph,EDGE, ,6-5,248,,29.0,,116,,,,2023
Brandon Joseph,DB,https://www.sports-reference.com/cfb/players/anthony-johnson-15.html,6-0,205,4.54,37.5,,125,,,,2023
Brandon Joseph,DB,https://www.sports-reference.com/cfb/players/anthony-johnson-15.html,6-0,205,4.54,37.5,,125,,,,2023
Brandon Joseph,RB, ,6-0,217,,,,,,,,2023
Brandon Joseph,DE, ,6-4,276,,,24,,,,,2023
Will Anderson Jr.,EDGE,https://www.sports-reference.com/cfb/players/will-anderson-jr-1.html,6-4,253,4.60,,,,,,Houston Texans / 1st / 3rd pick / 2023,2023
Earl Bostick Jr.,OT,https://www.sports-reference.com/cfb/players/earl-bostick-jr-1.html,6-6,309,5.05,31.0,,111,,,,2023
Dontay Demus Jr.,WR,https://www.sports-reference.com/cfb/players/dontay-demus-1.html,6-3,212,4.57,35.5,,123,,4.39,,2023
Emil Ekiyor Jr.,OG,https://www.sports-reference.com/cfb/players/emil-ekiyor-jr-1.html,6-3,314,,,,,,,,2023
Paris Johnson Jr.,OT,https://www.sports-reference.com/cfb/players/paris-johnson-jr-1.html,6-6,313,,,,110,,,Arizona Cardinals / 1st / 6th pick / 2023,2023
Darrell Luter Jr.,CB,https://www.sports-reference.com/cfb/players/darrell-luter-jr-1.html,6-0,189,4.46,40.5,,123,6.90,4.43,San Francisco 49ers / 5th / 155th pick / 2023,2023
Ivan Pace Jr.,LB,https://www.sports-reference.com/cfb/players/ivan-pace-jr-1.html,5-11,231,,,,,,,,2023
Joey Porter Jr.,CB,https://www.sports-reference.com/cfb/players/joey-porter-jr-1.html,6-3,193,4.46,35.0,17,129,,,Pittsburgh Steelers / 2nd / 32nd pick / 2023,2023
Calijah Kancey,DT,https://www.sports-reference.com/cfb/players/calijah-kancey-1.html,6-1,281,4.67,,,,,,Tampa Bay Buccaneers / 1st / 19th pick / 2023,2023
Calijah Kancey,CB,https://www.sports-reference.com/cfb/players/kyu-blu-kelly-1.html,6-0,191,4.52,36.0,,131,,,,2023
Dalton Kincaid,TE,https://www.sports-reference.com/cfb/players/dalton-kincaid-1.html,6-4,246,,,,,,,Buffalo Bills / 1st / 25th pick / 2023,2023
Jaxson Kirkland,OG,https://www.sports-reference.com/cfb/players/jaxson-kirkland-1.html,6-7,321,,,,,,,,2023
Malik Knowles,WR,https://www.sports-reference.com/cfb/players/malik-knowles-1.html,6-2,196,,,,,,,,2023
Adam Korsak,P,https://www.sports-reference.com/cfb/players/adam-korsak-1.html,6-1,187,,,,,,,,2023
Adam Korsak,TE, ,6-5,254,,34.0,23,122,7.08,4.29,,2023
Adam Korsak,TE, ,6-7,255,,40.0,23,128,6.87,4.12,,2023
Tyler Lacy,DE,https://www.sports-reference.com/cfb/players/tyler-lacy-1.html,6-4,279,5.11,28.5,30,116,7.60,,Jacksonville Jaguars / 4th / 130th pick / 2023,2023
Tyler Lacy,OG, ,6-4,304,,,,,,,,2023
Tyler Lacy,EDGE, ,6-4,236,4.62,34.5,21,126,7.20,4.56,,2023
Tyler Lacy,WR,https://www.sports-reference.com/cfb/players/matt-landers-1.html,6-4,200,4.37,37.0,,130,,,,2023
Sam LaPorta,TE,https://www.sports-reference.com/cfb/players/sam-laporta-1.html,6-3,245,,35.0,,123,6.91,4.25,Detroit Lions / 2nd / 34th pick / 2023,2023
Cameron Latu,TE,https://www.sports-reference.com/cfb/players/cameron-latu-1.html,6-4,242,,,,,,,San Francisco 49ers / 3rd / 101st pick / 2023,2023
Cameron Latu,EDGE, ,6-3,252,,,,,,,,2023
Will Levis,QB,https://www.sports-reference.com/cfb/players/will-levis-1.html,6-4,229,,34.0,,124,,,Tennessee Titans / 2nd / 33rd pick / 2023,2023
Will Levis,FB, ,6-1,230,,,,,,,,2023
Will Mallory,TE,https://www.sports-reference.com/cfb/players/will-mallory-1.html,6-5,239,,36.5,20,121,,,Indianapolis Colts / 5th / 162nd pick / 2023,2023
Will Mallory,OG,https://www.sports-reference.com/cfb/players/tashawn-manning-1.html,6-3,327,5.34,27.5,,102,7.90,4.80,,2023
Jartavius Martin,DB,https://www.sports-reference.com/cfb/players/jartavius-martin-1.html,5-11,194,4.46,44.0,15,133,,,Washington Commanders / 2nd / 47th pick / 2023,2023
Ochaun Mathis,EDGE,https://www.sports-reference.com/cfb/players/ochaun-mathis-1.html,6-5,250,4.74,33.5,21,118,,4.38,Los Angeles Rams / 6th / 189th pick / 2023,2023
Ochaun Mathis,OT, ,6-5,302,5.08,29.0,,108,7.33,4.55,,2023
Michael Mayer,TE,https://www.sports-reference.com/cfb/players/michael-mayer-1.html,6-5,249,,32.5,,118,,,Las Vegas Raiders / 2nd / 35th pick / 2023,2023
Michael Mayer,RB, ,5-10,209,,,,,,,,2023
Warren McClendon,OT,https://www.sports-reference.com/cfb/players/warren-mcclendon-1.html,6-4,306,,,,,,,Los Angeles Rams / 5th / 174th pick / 2023,2023
