Player,Pos,stats_link,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),year
Israel Abanikanda,RB,https://www.sports-reference.com/cfb/players/israel-abanikanda-1.html,5-10,216,,,,,,,New York Jets / 5th / 143rd pick / 2023,2023
Yasir Abdullah,LB,https://www.sports-reference.com/cfb/players/yasir-abdullah-1.html,6-1,237,4.47,36.5,,129,,,Jacksonville Jaguars / 5th / 136th pick / 2023,2023
Devon Achane,RB,https://www.sports-reference.com/cfb/players/devon-achane-1.html,5-9,188,4.32,33.0,,,,,Miami Dolphins / 3rd / 84th pick / 2023,2023
Jordan Addison,WR,https://www.sports-reference.com/cfb/players/jordan-addison-1.html,5-11,173,4.49,34.0,,122,,,Minnesota Vikings / 1st / 23rd pick / 2023,2023
Adetomiwa Adebawore,DE,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,6-2,282,4.49,37.5,27,125,,,Indianapolis Colts / 4th / 110th pick / 2023,2023
Adetomiwa Adebawore,C,https://www.sports-reference.com/cfb/players/alan-ali-1.html,6-4,301,,26.5,,,,,,2023
Davis Allen,TE,https://www.sports-reference.com/cfb/players/davis-allen-1.html,6-6,245,,38.5,,125,,,Los Angeles Rams / 5th / 175th pick / 2023,2023
MJ Anderson,DE,https://www.sports-reference.com/cfb/players/mj-anderson-1.html,6-3,269,,33.0,,,,,,2023
Jake Andrews,C,https://www.sports-reference.com/cfb/players/jake-andrews-1.html,6-3,305,5.15,26.0,,102,,4.73,New England Patriots / 4th / 107th pick / 2023,2023
Felix Anudike-Uzomah,EDGE,https://www.sports-reference.com/cfb/players/felix-anudike-uzomah-1.html,6-3,255,,,,,,,Kansas City Chiefs / 1st / 31st pick / 2023,2023
Malaesala Aumavae-Laulu,OT,https://www.sports-reference.com/cfb/players/malaesala-aumavae-laulu-1.html,6-6,317,5.23,28.5,,106,7.65,4.75,Baltimore Ravens / 6th / 199th pick / 2023,2023
Alex Austin,CB,https://www.sports-reference.com/cfb/players/alex-austin-1.html,6-1,195,4.55,33.0,,122,,4.33,Buffalo Bills / 7th / 252nd pick / 2023,2023
Alex Austin,OG, ,6-4,332,5.21,29.5,,98,7.85,4.74,,2023
Alex Austin,QB, ,6-3,213,4.79,36.0,,120,6.95,4.36,,2023
Henry Bainivalu,OG,https://www.sports-reference.com/cfb/players/henry-bainivalu-1.html,6-6,306,5.50,28.0,,101,8.34,4.97,,2023
Habakkuk Baldonado,EDGE,https://www.sports-reference.com/cfb/players/habakkuk-baldonado-1.html,6-4,251,4.78,35.0,21,120,7.11,4.44,,2023
Deonte Banks,CB,https://www.sports-reference.com/cfb/players/deonte-banks-1.html,6-0,197,4.35,42.0,,136,,,New York Giants / 1st / 24th pick / 2023,2023
Jeremy Banks,LB,https://www.sports-reference.com/cfb/players/jeremy-banks-2.html,6-1,232,4.53,37.5,25,127,7.27,4.38,,2023
Bryce Baringer,P,https://www.sports-reference.com/cfb/players/bryce-baringer-1.html,6-2,216,,,,,,,New England Patriots / 6th / 192nd pick / 2023,2023
Micah Baskerville,LB,https://www.sports-reference.com/cfb/players/micah-baskerville-1.html,6-1,221,,31.0,,115,,,,2023
Micah Baskerville,OG, ,6-4,317,5.48,28.5,,109,,,,2023
Jordan Battle,DB,https://www.sports-reference.com/cfb/players/jordan-battle-1.html,6-1,209,4.55,,17,,,,Cincinnati Bengals / 3rd / 95th pick / 2023,2023
Robert Beal,EDGE,https://www.sports-reference.com/cfb/players/robert-beal-1.html,6-4,247,4.48,30.0,,123,,,San Francisco 49ers / 5th / 173rd pick / 2023,2023
Ronnie Bell,WR,https://www.sports-reference.com/cfb/players/ronnie-bell-3.html,6-0,191,4.54,38.5,14,120,6.98,4.15,San Francisco 49ers / 7th / 253rd pick / 2023,2023
Jakorian Bennett,CB,https://www.sports-reference.com/cfb/players/jakorian-bennett-1.html,5-11,188,4.30,40.5,13,133,,,Las Vegas Raiders / 4th / 104th pick / 2023,2023
Stetson Bennett,QB,https://www.sports-reference.com/cfb/players/stetson-bennett-1.html,5-11,192,4.67,33.5,,118,,4.20,Los Angeles Rams / 4th / 128th pick / 2023,2023
Keeanu Benton,DT,https://www.sports-reference.com/cfb/players/keeanu-benton-1.html,6-4,309,5.08,29.5,25,111,7.34,4.65,Pittsburgh Steelers / 2nd / 49th pick / 2023,2023
Matthew Bergeron,OT,https://www.sports-reference.com/cfb/players/matthew-bergeron-2.html,6-5,318,,30.5,,103,,,Atlanta Falcons / 2nd / 38th pick / 2023,2023
Tank Bigsby,RB,https://www.sports-reference.com/cfb/players/tank-bigsby-1.html,6-0,210,4.56,32.5,,119,,,Jacksonville Jaguars / 3rd / 88th pick / 2023,2023
Mekhi Blackmon,CB,https://www.sports-reference.com/cfb/players/mekhi-blackmon-1.html,5-11,178,4.47,36.0,11,125,,,Minnesota Vikings / 3rd / 102nd pick / 2023,2023
Jake Bobo,WR,https://www.sports-reference.com/cfb/players/jake-bobo-1.html,6-4,206,,,,,,,,2023
Kayshon Boutte,WR,https://www.sports-reference.com/cfb/players/kayshon-boutte-1.html,5-11,195,4.50,29.0,,118,,4.25,New England Patriots / 6th / 187th pick / 2023,2023
Lance Boykin,CB,https://www.sports-reference.com/cfb/players/lance-boykin-1.html,6-2,200,,,13,124,,,,2023
